,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,iteration
0,1.4473,0.49826000000000004,2.3246,0.31204,0.88645,1.1632,3.5828,0.46984,1.1355,0.16213,0.33021999999999996,0.15671,0.27005999999999997,4.1358,1.3561,2.9037,5.7479,1.1688,0.49051999999999996,0.19518,5.7703,6.6483,7.7218,3.2279,0.68789,3.3661,1.3918,1.1235,0.15585,1.2838,0.1265,0.27471,0.3961,0.9923,0.17858,0.52968,0.23345,0.2081,0.83045,1.5108,1.3357,0.49737,0.95395,0.10764000000000001,5.8843,1.6469,1.114,9.5206,0.1094,5.3879,0.09072000000000001,0.15050999999999998,8.8553,9
1,1.4424,0.45863000000000004,1.8204,0.13314,1.1229,1.0592,3.5774,0.40931,0.92306,0.11255,0.42163,0.12819,0.45842,2.8238,1.8149,1.4997,4.9425,1.9437,0.46151000000000003,0.20947,5.1216,5.4193,8.0005,2.5047,0.9753,2.2769,2.3326,0.934,0.10504000000000001,1.4080000000000001,0.14417,0.33845,0.52783,1.0559,0.14805,0.5229199999999999,0.22978,0.42100000000000004,1.5844,2.6876,0.8900600000000001,0.45907,0.62833,0.12662,7.3124,1.6229,1.0088,12.532,0.10081,6.7645,0.05915700000000001,0.23475,8.6355,9
2,1.4776,0.67995,1.5865,0.1654,1.2019,3.2454,4.8156,0.8436899999999999,2.7152,0.54199,0.37526,0.24575,0.22815,2.275,2.531,1.6654,5.8864,3.0404,0.5413600000000001,0.15546,7.9733,1.8549,17.634,3.8655,0.59683,4.802,1.7956,1.9533,0.15762,0.89351,0.13418,0.27704,0.29318,0.97625,0.17361,1.0971,0.2785,0.9360700000000001,2.316,4.5323,2.3421,0.40658,1.375,0.20970999999999998,13.365,2.2275,1.5637,19.907,0.19104000000000002,7.0334,0.1004,0.53117,14.955,9
3,1.8733,0.56112,2.7601,0.17092000000000002,0.8419200000000001,1.9783,7.6325,0.60537,1.2475,0.14781,0.74764,0.15999000000000002,0.22729000000000002,2.6604,1.0558,1.5066,5.3026,2.1889,0.5446,0.14637999999999998,5.6874,5.5275,13.562999999999999,2.2888,0.43148000000000003,5.1874,1.3519,1.3036,0.14731,2.1485,0.15912,0.22107,0.47042,1.0151,0.42562,1.1159,0.11675,0.57689,1.7414,2.761,3.0289,0.24693,0.97334,0.27226,13.363,1.6163,1.2994,14.572000000000001,0.08719400000000001,9.9559,0.10715999999999999,0.28722,9.9381,9
4,2.3022,0.5058699999999999,1.2452,0.16683,0.53413,1.2565,5.0036,0.35878000000000004,1.3866,0.33657,0.19526,0.10575999999999999,0.42302,1.9286,0.95878,0.9450200000000001,6.4433,2.3796,0.54277,0.2388,12.864,5.5442,9.1233,2.4649,1.1128,2.9565,1.4485,0.58518,0.096163,1.0883,0.082359,0.15517,0.60501,1.1638,0.5097,1.0786,0.15900999999999998,0.42733000000000004,1.1012,4.5627,1.982,0.27093,2.6943,0.15957000000000002,10.390999999999998,2.125,1.0601,12.149000000000001,0.17415,9.5066,0.10534,0.7348399999999999,7.6892,9
5,3.1515,1.3678,3.8749,0.21754,0.89435,2.7066,7.6477,0.26985,1.6337,0.28067,2.4215,0.16696,0.30485999999999996,3.0802,1.4811,1.6179,6.2411,1.5684,0.68523,0.13296,8.4257,2.9087,4.5622,2.3503,0.25323,5.27,2.9318,1.8435,0.10701,0.94805,0.18373,0.23623000000000002,0.44668,1.2326,0.6281399999999999,1.4969999999999999,0.11650999999999999,1.7092,1.4245,2.0749,2.0915,0.26693,4.0172,0.13474,16.503,3.1399,0.98782,14.001,0.14854,7.625,0.1229,0.27449,15.629000000000001,9
6,3.7882,0.5583199999999999,3.4966,0.28131999999999996,3.1337,4.7223,7.3861,0.47773999999999994,3.5221,0.38900999999999997,0.88784,0.1785,0.21469000000000002,3.4369,3.3688,1.6186,6.3129,1.6444,0.6491,0.22355,7.4014,2.9815,8.8545,2.6275,2.4334,3.1095,2.9414,1.2255,0.17393,1.3486,0.12645,0.19414,0.40574,1.0457,1.0507,0.71409,0.29796,1.0045,2.5869999999999997,1.9251,3.6096,0.47008,2.7097,0.18126,13.190999999999999,1.2589,1.6475,18.671,0.16732,8.8195,0.12367,0.18946,14.761,9
7,3.3138,0.83562,2.2488,0.59946,0.72035,0.79965,12.985999999999999,0.8024600000000001,1.5624,0.29255,0.24241999999999997,0.14903,0.8003,6.1754,1.4347,1.6245,6.2597,2.4979,0.5617,0.17369,13.612,4.0951,24.866,4.2105,0.41613999999999995,5.2943,5.7558,2.6712,0.13209,1.1364,0.27906,0.27858,0.43743000000000004,1.3134,0.61085,0.9102600000000001,0.27,1.7431,2.3915,4.6114,3.4346,0.22269,1.8902,0.19319,13.309000000000001,3.8302,1.8543,17.495,0.14384,8.4026,0.12286,0.25536,15.673,9
8,2.396,0.6316,3.0548,0.54302,1.2873,1.3117,7.8771,0.9587200000000001,1.5764,0.22483000000000003,0.39955,0.13721,0.35231999999999997,12.293,1.8328,2.2177,6.7031,4.8705,0.53562,0.1944,9.4722,16.305,32.129,2.2343,0.60356,14.079,1.9731,3.1252,0.53546,1.1912,0.48841,0.28686999999999996,0.38761999999999996,1.0363,0.50231,0.83144,0.41455,0.76295,2.1078,4.065,1.9235,0.40747,1.1641,0.14473,14.749,1.9951,2.1571,21.076,0.18052,15.78,0.16902999999999999,0.18408,11.784,9
9,1.4719,0.56488,10.905999999999999,0.23690999999999998,0.94347,2.0703,2.8334,0.69214,1.1892,0.22030999999999998,0.40174,0.085664,0.30909000000000003,9.1057,2.0361,1.725,5.7203,2.2392,0.46737,0.14082,13.082,3.2268,8.8828,2.0454,0.7630600000000001,15.875,2.5577,2.5758,0.34463,1.3334,0.51199,0.5088,0.3248,0.99541,0.34649,0.64591,0.14468,0.22924,1.8184,4.047,2.0699,0.35048,3.1354,0.10714000000000001,7.6855,1.8867,0.94178,10.578,0.1269,6.6003,0.16762,0.59864,10.395,9
